109	156	99	99	99	99	0	0	0	10
103	3	95	95	95	95	0	0	0	8
102	119	75	75	76	76	0	1	1	26
101	95	79	79	80	80	0	1	1	21
101	211	96	96	96	96	0	0	0	5
97	139	79	79	80	80	0	1	1	17
97	210	94	94	96	96	0	2	2	1
95	129	81	81	81	81	0	0	0	14
93	116	74	74	76	76	0	2	2	17
92	201	81	81	81	81	0	0	0	11
90	34	83	83	83	83	0	0	0	7
89	13	87	87	88	88	0	1	1	1
86	252	71	71	72	72	0	1	1	14
86	225	68	68	70	70	0	2	2	16
85	142	69	69	69	69	0	0	0	16
85	147	58	58	60	60	0	2	2	25
83	42	62	62	63	63	0	1	1	20
82	249	67	67	69	69	0	2	2	13
80	92	64	64	67	67	0	3	3	13
79	26	53	53	54	54	0	1	1	25
78	212	72	72	73	73	0	1	1	5
77	9	63	63	65	65	0	2	2	12
76	100	75	75	75	75	0	0	0	1
74	64	73	73	73	73	0	0	0	1
72	25	64	64	64	64	0	0	0	8
72	122	57	57	58	58	0	1	1	14
69	41	68	68	68	68	0	0	0	1
69	154	43	43	43	43	0	0	0	26
69	267	47	47	47	47	0	0	0	22
68	215	55	55	57	57	0	2	2	11
68	199	52	52	52	52	0	0	0	16
68	214	53	53	55	55	0	2	2	13
67	213	62	62	64	64	0	2	2	3
65	111	45	45	47	47	0	2	2	18
65	94	64	64	64	64	0	0	0	1
63	61	45	45	46	46	0	1	1	17
62	59	53	53	54	54	0	1	1	8
62	254	35	35	36	36	0	1	1	26
61	36	36	36	38	38	0	2	2	23
60	240	40	40	42	42	0	2	2	18
60	251	53	53	53	53	0	0	0	7
59	140	44	44	46	46	0	2	2	13
57	231	35	35	36	36	0	1	1	21
56	14	40	40	42	42	0	2	2	14
54	261	33	33	34	34	0	1	1	20
52	90	25	25	27	27	0	2	2	25
51	176	48	48	50	50	0	2	2	1
49	165	40	40	41	41	0	1	1	8
48	143	46	46	47	47	0	1	1	1
48	10	45	45	45	45	0	0	0	3
46	262	37	37	39	39	0	2	2	7
46	47	19	19	21	21	0	2	2	25
44	208	42	42	43	43	0	1	1	1
43	71	21	21	23	23	0	2	2	20
41	84	29	29	30	30	0	1	1	11
41	93	27	27	30	30	0	3	3	11
40	32	32	32	33	33	0	1	1	7
40	149	25	25	27	27	0	2	2	13
39	164	35	35	36	36	0	1	1	3
37	115	24	24	24	24	0	0	0	13
35	268	16	16	18	18	0	2	2	17
35	6	11	11	12	12	0	1	1	23
33	188	30	30	32	32	0	2	2	1
31	5	25	25	25	25	0	0	0	6
30	219	27	27	29	29	0	2	2	1
26	99	12	12	13	13	0	1	1	13
25	65	9	9	9	9	0	0	0	16
24	134	22	22	23	23	0	1	1	1
23	202	17	17	19	19	0	2	2	4
22	217	19	19	21	21	0	2	2	1
22	181	21	21	21	21	0	0	0	1
17	128	3	3	6	6	0	3	3	11
16	205	7	7	7	7	0	0	0	9
12	72	8	8	9	9	0	1	1	3
12	263	11	11	11	11	0	0	0	1

========== STATISTICS ==========
1) Total orders: 270
   ODG: 26  ODN: 51  OT: 50  OVG: 19  OVC: 65  OVN: 59
2) Total chefs: 21   CN: 14  CS: 7
3) Total scooters: 10
4) Finished: 270 (100%)   Cancelled: 0 (0%)
5) Overwait orders: 1 (0.37037% of finished)
6) Averages (finished orders):
   Avg Ti    = 0.474074
   Avg Tc    = 0.988889
   Avg Tw    = 1.46296
   Avg Tserv = 12.4519
7) Scooter utilization: 61.6817%
8) Chef utilization:    3.8181%
